title,time,author,sent,label
早上市的柑橘走货慢、价格低，后期柑橘“扎堆成熟”，今年行情走势如何？,2020/11/18 22:31,农财网柑桔通,但好景不长，进入11月份之后，多地的金秋砂糖橘都上市了，价格也直线掉落。,0
早上市的柑橘走货慢、价格低，后期柑橘“扎堆成熟”，今年行情走势如何？,2020/11/18 22:31,农财网柑桔通,但是今年柑橘行情总体不好，不管是早熟柑还是南丰蜜桔价格都比较低，开局不利的情况下也连累到了金秋砂糖橘。,0
早上市的柑橘走货慢、价格低，后期柑橘“扎堆成熟”，今年行情走势如何？,2020/11/18 22:31,农财网柑桔通,柑橘市场行情不好，最主要的原因是供大于求的结果，目前全国都在发展柑橘种植，加上疫情的因素，行情相对去年普遍有所回落。,0
柑橘行情分享 | 各品种价格维持稳定……,2020/11/26 17:31,柑露果服,四、爱媛38号爱媛38号主产地四川眉山、彭山两地上市的价格相差不大，但最近眉山地区的好果价格浮动较大，从之前的4元/斤降到现在的3.0~3.3元/斤，出现这种情况应该是眉山地区市面上开始大量上市导致，彭山地区价格也有下降的趋势，但目前较为稳定，好果卖3.2~4.0元/斤。,0
砂糖橘、沃柑、春见、不知火，四大热门柑橘价格三月走势如何？,2020/3/22 22:39,老刘微农技,使得沃柑的价格也小幅度下跌，前来收购的果商积极性也一般。,0
砂糖橘、沃柑、春见、不知火，四大热门柑橘价格三月走势如何？,2020/3/22 22:39,老刘微农技,不过今年了解沃柑市场的朋友们都知道，沃柑比起往年同期走势并不算好。,0
砂糖橘、沃柑、春见、不知火，四大热门柑橘价格三月走势如何？,2020/3/22 22:39,老刘微农技,这几天耙耙柑的价格走势也并不是很好。,0
砂糖橘、沃柑、春见、不知火，四大热门柑橘价格三月走势如何？,2020/3/22 22:39,老刘微农技,不过由于耙耙柑形势不太乐观，所以丑柑的身价或多或少也有一点小跌。,0
砂糖橘、沃柑、春见、不知火，四大热门柑橘价格三月走势如何？,2020/3/22 22:39,老刘微农技,想砂糖橘的水果更是接到了几毛钱1斤。,0
柑橘滞销、价格行情低迷，柑橘产业真的需要有新的突破……,2020/2/26 17:51,柑露果服,年前涨价采果贵，年后疫情村封路。,1
2020年柑橘的价格走势会如何？看完心里有数了！,2020/8/12 19:26,万果会,农产品是刚需，鲜果消费却在下降!,0
2020年柑橘的价格走势会如何？看完心里有数了！,2020/8/12 19:26,万果会,今年，更受疫情影响，各地水果销售困难增加，滞销苗头显现，近年来饱受柑橘市场波动影响的果农们不由发出这样的疑问——今年柑橘价格还可能上升，还有钱可赚吗？,0
2020年柑橘的价格走势会如何？看完心里有数了！,2020/8/12 19:26,万果会,其实柑橘的价格还是决定于供求关系，很多分析行情，多的就是说：天气导致果差，不熟，成色不好，卖不动。,0
2020年柑橘的价格走势会如何？看完心里有数了！,2020/8/12 19:26,万果会,这在表中其实是属于柑橘的质量问题，低品质，自然价格低。,0
2020年柑橘的价格走势会如何？看完心里有数了！,2020/8/12 19:26,万果会,实际上，价格低的原因其实是数量多，数量一多，自然产生对比。,0
2020年柑橘的价格走势会如何？看完心里有数了！,2020/8/12 19:26,万果会,近几年随着柑橘果品价格的走高，亩产值10万元、100元/斤果的传奇的出现，引发各地开启疯狂发展模式，各领域资本进入，颇有全民种橘的味道，同时质疑、责问、警防过剩过滥的呼声不绝于耳。,1
2020年柑橘的价格走势会如何？看完心里有数了！,2020/8/12 19:26,万果会,2017年，秋季南方多处柑橘主产区遭受了长时间降雨危害，南丰蜜橘、普通温州蜜橘烂在树上无人采收，亚洲最早熟蜜橘基地云南华宁县，均价从往年的4-5元/斤，跌到1元多，广西砂糖橘收购价从往年5元上下到1块多，惜售的只有倒掉，砂糖橘变“杀人橘”，很多业主逃离此行业。,0
2020年柑橘的价格走势会如何？看完心里有数了！,2020/8/12 19:26,万果会,由于物流问题，北欧市场上的橙子价格正在上涨。,1
柑橘行情肯定会迎来低谷，但持续时间有限！熬过低价期，价格就会上升！,2020/3/28 18:20,柑露果服,总量上柑橘产能已经供过于求，未来5年，如果没有大灾害，柑橘整体价格会持续下降。,0
柑橘行情分享 |  砂糖橘3~3.5元/斤，其他价格怎样？,2020/11/24 17:51,柑露果服,随着各地砂糖橘、贡柑、八月桔、脐橙等柑橘上市，各品种均有不同程度跌价。,0
柑橘行情分享 |  砂糖橘3~3.5元/斤，其他价格怎样？,2020/11/24 17:51,柑露果服,七、清香橘广西桂林清香橘上市量增多，好果价格在2.0~2.3元/斤之间，价格方面还可以，相比前期，价格下降了一些。,0
柑橘价格：砂糖橘批发市场略涨，产地均价1.8,2020/1/14 23:31,柑桔之家,批发市场：春节将至，快递停运，砂糖橘略有上涨。,1
柑橘价格：砂糖橘批发市场略涨，产地均价1.8,2020/1/14 23:31,柑桔之家,砂糖橘批发市场价格小涨产地市场：砂糖橘均价1.8，沃柑3.5。,1
​8月柑橘最新市场价格行情分析！,2020/8/23 11:30,柑橘信息网,但在经历了近两年的低迷行情后，今年柑橘价格仍然不乐观。,0
柑橘行情规律，物以稀为贵，供大于求就便宜！,2020/8/26 20:18,柑橘之友,供大于求就便宜：沙糖桔疯狂扩种之后，过去两年上市高峰期，好果地头价才1.5元左右。,0
柑橘行情规律，物以稀为贵，供大于求就便宜！,2020/8/26 20:18,柑橘之友,沃柑过去两年上市高峰期，好果地头价大概3～4元/斤，现在还在不断扩种，预计以后价格也会下滑。,0
旺！旺销！柑橘等水果价格虽亲民，但销量大增！（附各地产区行情信息）,2020/12/6 22:18,种植助手,广西一代办表示，砂糖桔价格下跌，主要受三个因素影响，一是虽然上市量增多，但成熟度还不是很好，口感比较差；,0
旺！旺销！柑橘等水果价格虽亲民，但销量大增！（附各地产区行情信息）,2020/12/6 22:18,种植助手,如在江苏无锡，从梨子到橙子、香蕉和草莓，价格都相当实惠，橙子的批发价格更是比去年同期低了一成六左右；,0
旺！旺销！柑橘等水果价格虽亲民，但销量大增！（附各地产区行情信息）,2020/12/6 22:18,种植助手,在河南平顶山，市面柑橘种类繁多价格便宜，显示出柑橘大丰收带来的价格低销售旺的市场特点。,0
旺！旺销！柑橘等水果价格虽亲民，但销量大增！（附各地产区行情信息）,2020/12/6 22:18,种植助手,而在山东济宁，苹果和橙子批发价格已经比去年同期低了两成左右，草莓目前价格虽较高，但也比刚上市时低了四成，与此同时市场销售情况不错，市民们对实惠的果价反应相当积极，纷纷购买。,0
全市柑橘销售价格连续两周持续上涨,2020/12/21 16:34,宜昌农业,"与2019年同期3.05元/公斤相比下降25%,降幅收窄；",0
全市柑橘销售价格连续两周持续上涨,2020/12/21 16:34,宜昌农业,与2018年同期2.2元/公斤相比，上涨4%。,1
全国柑橘电商价格整体上涨，后市或偏“稳弱”运行！四川交易实力最强，广西广东次之！,2020/12/3 20:19,柑橘信息网,六、2020年柑橘价格水平整体上涨，后市行情价格偏稳弱2020年全国柑橘的电商价格整体是上涨的，2020年7-10月，柑橘均价为2.5元/斤，较2019年同期均价（1.7元/斤）高出45%。,1
全国柑橘电商价格整体上涨，后市或偏“稳弱”运行！四川交易实力最强，广西广东次之！,2020/12/3 20:19,柑橘信息网,具体走势方面，7月柑橘刚刚上市，均价为3.6元/斤，较去年同期均价（2.5元/斤）上涨46%；,1
全国柑橘电商价格整体上涨，后市或偏“稳弱”运行！四川交易实力最强，广西广东次之！,2020/12/3 20:19,柑橘信息网,9月柑橘均价为1.9元/斤，环比继续下跌16%，同比上涨93%；,0
全国柑橘电商价格整体上涨，后市或偏“稳弱”运行！四川交易实力最强，广西广东次之！,2020/12/3 20:19,柑橘信息网,10月柑橘均价为2.0元/斤，环比转负为正，上涨5%，同比上涨13%，但同比涨幅较前几个月大幅度收窄。,1
柑橘行情或迎来上涨，2020下半年是否是产业转折点？,2020/7/24 17:50,品牌农业与市场,例如，近年来各大电商平台纷纷搭建帮助果农销售水果的平台，让果农能及时把手中的水果卖出去，消费者也能吃到新鲜满意的水果，大大减少了中间环节的运输成本和时间成本，让果农们可以获取更多利润。,0
柑橘行情一片大好，果农为什么砍了果树？,2020/1/14 11:33,聚土网,行情好，他们又要承受跌价风险；,0
1月4日砂糖橘价格｜这种柑橘售价最高70元/公斤，未来一定会火！,2020/1/4 17:29,永福520网,据统计，2019年金桔交易量同比上涨0.46%，交易额同比上涨0.67%，均价为11.32元/公斤，同比下降0.21%。,0
柑橘丰收却卖不出去，价格下跌或成肥料？,2020/11/23 21:44,公司零距离,从湖南柑橘价格走势来看，今年湖南省柑橘的价格水平较去年同期偏低，行情价格自上市以来一路走低。,0
柑橘丰收却卖不出去，价格下跌或成肥料？,2020/11/23 21:44,公司零距离,《证券日报》记者从惠农网APP上查看到，部分柑橘品种批发价格已跌至0.5元每公斤，也有部分柑橘品种批发价格较为坚挺，仍维持在5元每公斤左右。,0
柑橘丰收却卖不出去，价格下跌或成肥料？,2020/11/23 21:44,公司零距离,近期，柑橘销售价格出现了‘老品种价格低迷，新品种价格坚挺’的两极分化格局，表明湖南柑橘产业已到了亟待突破瓶颈实现更高层次发展的关键时间点上。,0
价格不断下跌，柑橘产业出路在何方？,2020/12/2 20:06,生鲜头条,而砂糖橘、皇帝柑的产量最大，两者的价格也不是太好。,0
价格不断下跌，柑橘产业出路在何方？,2020/12/2 20:06,生鲜头条,就拿砂糖橘来说，今年开秤价低了1元，往年都在4元一斤，今年的降到了3元左右，定园价更是只有2.5元。,0
价格不断下跌，柑橘产业出路在何方？,2020/12/2 20:06,生鲜头条,如今南丰蜜桔尽管上市时间不长，但价格已跌到了1元多，优质果也才1.7元，2元的基本上看不到。,0
价格不断下跌，柑橘产业出路在何方？,2020/12/2 20:06,生鲜头条,这些都只是刚上市的价格，伴随着12月份集中性上市，柑橘的行情还会继续下跌。,0
价格不断下跌，柑橘产业出路在何方？,2020/12/2 20:06,生鲜头条,8月份就降到了2.3元一斤，9月份降到1.9元每斤，10月份上涨5%，价格回升到2.0元一斤。,0
价格不断下跌，柑橘产业出路在何方？,2020/12/2 20:06,生鲜头条,不过接下来的柑橘迎来了持续上市，且产地的货源很是充足，接下来的柑橘价格还有下跌的空间。,0
价格不断下跌，柑橘产业出路在何方？,2020/12/2 20:06,生鲜头条,03柑橘面临的现状NO.1供大于求柑橘产量年年增加，这是柑橘价格逐年下跌的原因，就拿砂糖橘来说，5年前一斤卖出了5元左右，但如今却跌到了2元左右，其原因很大程度是供大于求，市场的供应太多。,0
价格不断下跌，柑橘产业出路在何方？,2020/12/2 20:06,生鲜头条,说到底前些年的砂糖橘行情比较好，农民纷纷盲目栽种，以至于产量大涨，且目前还处在盛果期，没人主动愿意退出这个市场，后续行情还会变差。,0
11月柑橘成熟进入饱和期，砂糖橘价格下跌，市场整体趋于稳定,2020/11/13 17:11,国际果蔬,柑橘价格普遍在国庆后经历一轮下跌，降幅大约30%左右，目前市场已经整体趋于稳定。,0
11月柑橘成熟进入饱和期，砂糖橘价格下跌，市场整体趋于稳定,2020/11/13 17:11,国际果蔬,其中，砂糖橘价格进入11月开始下跌。,0
11月柑橘成熟进入饱和期，砂糖橘价格下跌，市场整体趋于稳定,2020/11/13 17:11,国际果蔬,进入11月份，随着多地砂糖橘上市，价格直线下跌，如今已经跌到了3元/斤。,0
【水果行情】柑橘市场价格稳定，爱媛即将下市，迎来沙糖桔上市高峰期,2020/11/18 17:05,村宝网,金秋砂糖橘天气变冷，行情偏淡，价格偏低，货也不是很多，一级果3.8/斤，统果2.5/斤。,0
多地产区的柑橘上市，价格是涨还是跌？走货慢还是快？,2020/10/23 17:10,就爱果电商平台,按照这个行情看，转色好的贡柑后期会有好的价格行情，预计果价会维持在2元/斤左右。,1
柑橘市场硝烟四起，砂糖橘价格又开新低，谁之过？,2020/1/8 18:25,万果会,现在，砂糖橘已经跌至几年来的最低点，今年可能还会存活。,0
惨遭连续3年价格低迷，广西柑橘产业出路：亟需这3种理性,2020/1/8 20:56,种植助手,其实，2017年沙糖桔价格跌下来后，各地新增的沙糖桔种植大户已经不多，这也是理性表现之一。,0
11月柑橘成熟进入饱和期，砂糖橘价格下跌，将严重影响苹果价格,2020/11/13 21:17,西北果业信息,柑橘价格普遍在国庆后经历一轮下跌，降幅大约30%左右，目前市场已经整体趋于稳定。,0
11月柑橘成熟进入饱和期，砂糖橘价格下跌，将严重影响苹果价格,2020/11/13 21:17,西北果业信息,其中，砂糖橘价格进入11月开始下跌。,0
11月柑橘成熟进入饱和期，砂糖橘价格下跌，将严重影响苹果价格,2020/11/13 21:17,西北果业信息,进入11月份，随着多地砂糖橘上市，价格直线下跌，如今已经跌到了3元/斤。,0
11月柑橘成熟进入饱和期，砂糖橘价格下跌，将严重影响苹果价格,2020/11/13 21:17,西北果业信息,与往年同期相比，今年柑橘整体价格不高，预计进入12月份之后，受上市量持续增加等因素影响，柑橘品类价格可能还会存在一定下降空间。,0
11月柑橘成熟进入饱和期，砂糖橘价格下跌，将严重影响苹果价格,2020/11/13 21:17,西北果业信息,而南方砂糖橘类也开始上市，南丰蜜桔价格低至8毛钱一斤涌入市场，将直接成为阻碍今年苹果价格的拦路虎。,0
预计后期水果价格将继续回落！奉劝柑橘成熟适价果断出手！,2020/10/20 17:52,作物大王新农盟,其中，梨、柑橘、香蕉批发价格分别下降2.4%、1.7%和1.1%。,0
预计后期水果价格将继续回落！奉劝柑橘成熟适价果断出手！,2020/10/20 17:52,作物大王新农盟,商务部表示，伴随秋季时令水果上市量增加，预计后期水果价格仍将小幅回落。,0
预计后期水果价格将继续回落！奉劝柑橘成熟适价果断出手！,2020/10/20 17:52,作物大王新农盟,例如，柑橘、猕猴桃、柚子等集中上市，将成为市场销售主力，价格将进入季节性下跌阶段。,0
柑橘低价滞销不好卖？低品质难辞其咎，高品质的柑橘从不愁卖！,2020/1/12 19:35,老刘微农技,为什么今年也发生了大规模降价呢？,0
柑橘低价滞销不好卖？低品质难辞其咎，高品质的柑橘从不愁卖！,2020/1/12 19:35,老刘微农技,尽管沙糖桔降价还有其他很多原因，但最开始点燃导火索的，那就是因为有果农早采影响了沙糖桔的品质。,0
【行情分析】沙糖桔价格下滑，其他柑橘连带影响,2020/12/18 20:45,村宝网,截止到昨天各产区沙糖桔价格没有明显变化，但随着近段小雨，气温下降，沙糖桔价格下降，很多沙糖桔树都盖了膜，种植户也不愿意摘，采收主要以百家果为主，销售不大。,0
【行情分析】沙糖桔价格下滑，其他柑橘连带影响,2020/12/18 20:45,村宝网,梧州苍梧沙糖桔行情代办陈哥：近日雨水绵绵，果面出现返青，今天的出果量增加，价格下降了，不过质量好的还是保持平衡，一级严选果是2.5元/斤，过框挑果1.5元/斤。,0
重磅：2020年柑橘价格或将上涨！为何？答案都在里面,2020/4/22 11:30,柑橘信息网,批发商的价格可能高达每公斤0.75欧元。,1
商务部：西瓜、梨、柑橘等水果价格环比上涨,2020/12/3 09:30,中国水果门户,受季节等因素影响，预计后期水果价格将略有上涨。,1
柑桔价格：不可抗力！肺炎来袭、进口水果抢占中国春节市场！柑橘年货行情稍逊往年,2020/1/21 23:22,柑桔之家,记者看到，目前市场上大部分水果价格都有明显的回落，去年同期150、160元/箱的沃柑，今年110元/箱；,0
柑桔价格：不可抗力！肺炎来袭、进口水果抢占中国春节市场！柑橘年货行情稍逊往年,2020/1/21 23:22,柑桔之家,沙糖橘较去年同期便宜了40%左右；,0
柑桔价格：不可抗力！肺炎来袭、进口水果抢占中国春节市场！柑橘年货行情稍逊往年,2020/1/21 23:22,柑桔之家,耙耙柑较去年同期便宜30%左右；,0
猕猴桃价格持续走低，挖树改种成柑橘，是否还来的及,2020/7/25 21:09,农业大百科,2、柑橘近2年的柑橘市场行情表现良好，不管是那个柑橘品种，后期的价格一般都是处于上涨的趋势，以早熟的爱嫒系列、春见系列的市场行情表现最好。,1
桔价速递丨各柑橘行情总体趋稳，南丰蜜桔小涨；11月20日，西林砂糖桔上市！,2020/11/13 20:45,种植助手,广西西林砂糖桔11月20日开市这两天，南丰蜜桔好果价有所上升，上涨幅度在1-2毛/斤，爱媛、贡柑、脐橙等柑橘价格亦总体趋稳，贡柑好果价（60及以上）普遍在3元/斤以上。,1
桔价速递丨各柑橘行情总体趋稳，南丰蜜桔小涨；11月20日，西林砂糖桔上市！,2020/11/13 20:45,种植助手,广西西林砂糖桔11月20日开市这两天，南丰蜜桔好果价有所上升，上涨幅度在1-2毛/斤，爱媛、贡柑、脐橙等柑橘价格亦总体趋稳，贡柑好果价（60及以上）普遍在3元/斤以上。,1
广西柑橘销售遭遇“严冬”，2020年3月7日全国柑橘价格行情！,2020/3/7 23:33,柑桔之家,随着市场饱和，柑橘连续两年价跌，特别是2019末到2020春节的新冠肺炎疫情，加剧了销售困难，半数以上果品售价跌至成本线。,0
中柑所彭良志：柑橘行情肯定会迎来低谷，但持续时间有限,2020/3/29 07:00,柑橘产业联盟,总量上柑橘产能已经供过于求，未来5年，如果没有大灾害，柑橘整体价格会持续下降。,0
